"Timestamp","Have you played a sport?","What sport did you play?","How long did you play your sport","How would you rate your sport?"
"2026/03/17 3:06:43 PM AST","Yes","Tennis",">4 years","10"
"2026/03/17 3:08:53 PM AST","Yes","Soccer ","<1 year","4"
"2026/03/17 3:09:32 PM AST","Yes","Frisbee","2 years","10"
"2026/03/17 3:09:44 PM AST","Yes","Lacrosse",">4 years","10"
"2026/03/17 3:11:52 PM AST","Yes","Soccer",">4 years","10"
"2026/03/17 3:15:51 PM AST","Yes","football","3 years","7"
"2026/03/17 3:16:14 PM AST","Yes","table tennis","4 years","8"
"2026/03/17 3:16:50 PM AST","Yes","Soccer",">4 years","10"
"2026/03/17 3:28:52 PM AST","Yes","Tennis",">4 years","8"
"2026/03/19 1:38:00 PM AST","Yes","Ping-pong",">4 years","8"
"2026/03/19 2:11:20 PM AST","Yes","","3 years","9"
"2026/03/24 2:37:25 PM AST","Yes","Soccer",">4 years","8"
